ID;Title;Priority;References;Section;Section Depth;Section Description;Steps;Steps_1;Steps (Additional Info);Steps (Step);Steps (Expected Result);Suite;Suite ID;Type;Updated By;Updated On
;;;;;;;;;;After signing up the player is sent a group request adding the player to the VIP group;The group request is sent and the user sees it in the notification menu;;;;;
C7;Deposit Form - Refusing bonus;Medium;;Deposit form;0;;"1. Locate the deposit modal and input a value into the deposit field
Expected Result:
The field should display the inputted amount and the user should be given a possibility to get a bonus
2. Select the ""i don't want the bonus"" from the dropdown menu
Expected Result:
The ""I don't want the bonus"" is displayed and the user is not presented with the bonus
3. Change the value to any amount higher than the lowest bonus threshold and observe if the user is presented with the bonus
Expected Result:
The bonus should not be presented to the user as he opted out of it, however, a prompt should be displayed to the user stating ""deposit x more to get a bonus""

4. Click on the Play with xxx button and observe the behavior
Expected Result:
User is presented with the payment methods, when selected the user is navigated to the sign up modal
5. After signing up and logging in the user is sent a group request
Expected Result:
The group request has been received and is displayed in the notifications menu";;;Locate the deposit modal and input a value into the deposit field;The field should display the inputted amount and the user should be given a possibility to get a bonus;Master;S1;Other;boris komatina;8/27/2022 9:11 AM
;;;;;;;;;;"Select the i don't want the bonus"" from the dropdown menu""";"The I don't want the bonus"" is displayed and the user is not presented with the bonus""";;;;;
;;;;;;;;;;;"The bonus should not be presented to the user as he opted out of it, however, a prompt should be displayed to the user stating deposit x more to get a bonus""";;;;;
",Change the value to any amount higher than the lowest bonus threshold and observe if the user is presented with the bonus""";;;;;;;;;;;;;;;;
;;;;;;;;;;Click on the Play with xxx button and observe the behavior;User is presented with the payment methods, when selected the user is navigated to the sign up modal;;;;;
;;;;;;;;;;After signing up and logging in the user is sent a group request;The group request has been received and is displayed in the notifications menu;;;;;
C10;Deposit Form - Footer deposit form;Medium;;Deposit form;0;;"1. Scroll down to the bottom of the homepage
Expected Result:
While the user is scrolling down a footer deposit form should be displayed to the user
2. Verify that there are no graphical distortions or font issues on the footer
Expected Result:
No graphical distortions or font issues should be present on the footer
3. Verify that all dropdown menus are clickable and that they respond on user interaction
Expected Result:
The dropdown menus should respond
4. Check the border values for each bonus and each currency in the footer deposit modal
Expected Result:
The border values should match the ones on the body deposit modal, no differences should be present in the behavior
5. Select your currency amount bonus payment method and proceed with the deposit
Expected Result:
The deposit button reacts by navigating the player to the sign up pop-up";;;Scroll down to the bottom of the homepage;While the user is scrolling down a footer deposit form should be displayed to the user;Master;S1;Other;boris komatina;8/27/2022 8:36 AM
;;;;;;;;;;Verify that there are no graphical distortions or font issues on the footer;No graphical distortions or font issues should be present on the footer;;;;;
;;;;;;;;;;Verify that all dropdown menus are clickable and that they respond on user interaction;The dropdown menus should respond;;;;;
;;;;;;;;;;Check the border values for each bonus and each currency in the footer deposit modal;The border values should match the ones on the body deposit modal, no differences should be present in the behavior;;;;;
;;;;;;;;;;Select your currency amount bonus payment method and proceed with the deposit;The deposit button reacts by navigating the player to the sign up pop-up;;;;;
